,Country,SDI_2012,SDI_2013,SDI_2014,SDI_2015
137,Spain,0.532,0.542,0.53,0.485
138,Sri Lanka,0.815,0.818,0.822,0.825
139,Suriname,0.685,0.682,0.675,0.673
140,Swaziland,0.587,0.601,0.609,0.614
141,Sweden,0.338,0.332,0.329,0.328
142,Switzerland,0.284,0.268,0.268,0.263
143,Syria,0.677,0.616,0.591,0.576
144,Tajikistan,0.691,0.696,0.695,0.695
145,Tanzania,0.546,0.545,0.555,0.569
146,Thailand,0.727,0.715,0.713,0.712
147,Togo,0.502,0.508,0.518,0.533
148,Trinidad and Tobago,0.742,0.734,0.727,0.723
149,Tunisia,0.769,0.773,0.773,0.774
150,Turkey,0.675,0.676,0.666,0.662
151,Turkmenistan,0.39,0.332,0.304,0.263
152,Uganda,0.529,0.534,0.539,0.544
153,Ukraine,0.736,0.726,0.732,0.732
154,United Arab Emirates,0.129,0.117,0.113,0.108
155,United Kingdom,0.401,0.401,0.403,0.399
156,United States of America,0.198,0.19,0.184,0.184
157,Uruguay,0.6,0.598,0.573,0.551
158,Uzbekistan,0.722,0.732,0.735,0.737
159,Vanuatu,0.637,0.642,0.643,0.643
160,Venezuela,0.786,0.787,0.788,0.785
161,Viet Nam,0.712,0.714,0.712,0.713
162,Yemen,0.543,0.545,0.544,0.52
163,Zambia,0.612,0.618,0.625,0.628
164,Zimbabwe,0.544,0.556,0.566,0.569
