,Country,measurement,units,Year
210,"Yemen, Rep.",waste_treatment_controlled_landfill_percent,tonnes/year,2016
211,Costa Rica,waste_treatment_controlled_landfill_percent,tonnes/year,2010
212,St. Kitts and Nevis,waste_treatment_controlled_landfill_percent,tonnes/year,2017
213,Paraguay,waste_treatment_controlled_landfill_percent,tonnes/year,2010
214,"Iran, Islamic Rep.",waste_treatment_controlled_landfill_percent,tonnes/year,2017
215,Cuba,waste_treatment_controlled_landfill_percent,tonnes/year,2015
216,Panama,waste_treatment_controlled_landfill_percent,tonnes/year,2010
217,South Africa,waste_treatment_controlled_landfill_percent,tonnes/year,2011
218,West Bank and Gaza,waste_treatment_controlled_landfill_percent,tonnes/year,2013
219,Peru,waste_treatment_controlled_landfill_percent,tonnes/year,2014
220,Barbados,waste_treatment_controlled_landfill_percent,tonnes/year,2012
221,Argentina,waste_treatment_controlled_landfill_percent,tonnes/year,2010
222,Saudi Arabia,waste_treatment_controlled_landfill_percent,tonnes/year,2015
223,Bermuda,waste_treatment_controlled_landfill_percent,tonnes/year,2012
224,Papua New Guinea,waste_treatment_controlled_landfill_percent,tonnes/year,2016
225,Brazil,waste_treatment_controlled_landfill_percent,tonnes/year,2015
226,Honduras,waste_treatment_controlled_landfill_percent,tonnes/year,2010
227,Trinidad and Tobago,waste_treatment_controlled_landfill_percent,tonnes/year,2011
228,Oman,waste_treatment_controlled_landfill_percent,tonnes/year,2017
229,Lebanon,waste_treatment_controlled_landfill_percent,tonnes/year,2014
230,Grenada,waste_treatment_controlled_landfill_percent,tonnes/year,2011
231,Senegal,waste_treatment_controlled_landfill_percent,tonnes/year,2014
232,Haiti,waste_treatment_controlled_landfill_percent,tonnes/year,2012
233,Lao PDR,waste_treatment_controlled_landfill_percent,tonnes/year,2015
234,Dominica,waste_treatment_controlled_landfill_percent,tonnes/year,2005
235,Ireland,waste_treatment_controlled_landfill_percent,tonnes/year,2012
236,Japan,waste_treatment_controlled_landfill_percent,tonnes/year,2015
237,Mauritania,waste_treatment_controlled_landfill_percent,tonnes/year,2009
238,Antigua and Barbuda,waste_treatment_controlled_landfill_percent,tonnes/year,2014
239,Bosnia and Herzegovina,waste_treatment_controlled_landfill_percent,tonnes/year,2015
240,"Egypt, Arab Rep.",waste_collection_coverage_rural_percent_of_households,Percent of population,2013
241,"Egypt, Arab Rep.",waste_collection_coverage_rural_percent_of_waste,Percent of population,2013
242,"Egypt, Arab Rep.",waste_collection_coverage_rural_percent_of_population,Percent of population,2013
243,"Egypt, Arab Rep.",waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2013
244,Thailand,waste_collection_coverage_rural_percent_of_households,Percent of waste,2009
245,Thailand,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2009
246,Thailand,waste_collection_coverage_rural_percent_of_population,Percent of waste,2009
247,Thailand,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2009
248,Senegal,waste_collection_coverage_rural_percent_of_households,Percent of waste,2004
249,Senegal,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2004
250,Senegal,waste_collection_coverage_rural_percent_of_population,Percent of waste,2004
251,Senegal,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2004
252,Mongolia,waste_collection_coverage_rural_percent_of_households,Percent of waste,2016
253,Mongolia,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2016
254,Mongolia,waste_collection_coverage_rural_percent_of_population,Percent of waste,2016
255,Mongolia,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2016
256,West Bank and Gaza,waste_collection_coverage_rural_percent_of_households,Percent of households,2013
257,West Bank and Gaza,waste_collection_coverage_rural_percent_of_waste,Percent of households,2013
258,West Bank and Gaza,waste_collection_coverage_rural_percent_of_population,Percent of households,2013
259,West Bank and Gaza,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2013
260,Botswana,waste_collection_coverage_rural_percent_of_households,Percent of households,1998
261,Botswana,waste_collection_coverage_rural_percent_of_waste,Percent of households,1998
262,Botswana,waste_collection_coverage_rural_percent_of_population,Percent of households,1998
263,Botswana,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,1998
264,Colombia,waste_collection_coverage_rural_percent_of_households,Percent of households,2014
265,Colombia,waste_collection_coverage_rural_percent_of_waste,Percent of households,2014
266,Colombia,waste_collection_coverage_rural_percent_of_population,Percent of households,2014
267,Colombia,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2014
268,Gabon,waste_collection_coverage_rural_percent_of_households,Percent of population,2000
269,Gabon,waste_collection_coverage_rural_percent_of_waste,Percent of population,2000
270,Gabon,waste_collection_coverage_rural_percent_of_population,Percent of population,2000
271,Gabon,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2000
272,Samoa,waste_collection_coverage_rural_percent_of_households,Percent of population,2016
273,Samoa,waste_collection_coverage_rural_percent_of_waste,Percent of population,2016
274,Samoa,waste_collection_coverage_rural_percent_of_population,Percent of population,2016
275,Samoa,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2016
276,Philippines,waste_collection_coverage_rural_percent_of_households,Percent of waste,2003
277,Philippines,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2003
278,Philippines,waste_collection_coverage_rural_percent_of_population,Percent of waste,2003
279,Philippines,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2003
280,Suriname,waste_collection_coverage_rural_percent_of_households,Percent of population,2009
281,Suriname,waste_collection_coverage_rural_percent_of_waste,Percent of population,2009
282,Suriname,waste_collection_coverage_rural_percent_of_population,Percent of population,2009
283,Suriname,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2009
284,Belarus,waste_collection_coverage_rural_percent_of_households,Percent of population,2016
285,Belarus,waste_collection_coverage_rural_percent_of_waste,Percent of population,2016
286,Belarus,waste_collection_coverage_rural_percent_of_population,Percent of population,2016
287,Belarus,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2016
288,Jamaica,waste_collection_coverage_rural_percent_of_households,Percent of households,2011
289,Jamaica,waste_collection_coverage_rural_percent_of_waste,Percent of households,2011
290,Jamaica,waste_collection_coverage_rural_percent_of_population,Percent of households,2011
291,Jamaica,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2011
292,Qatar,waste_collection_coverage_rural_percent_of_households,Percent of population,2017
293,Qatar,waste_collection_coverage_rural_percent_of_waste,Percent of population,2017
294,Qatar,waste_collection_coverage_rural_percent_of_population,Percent of population,2017
295,Qatar,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2017
296,Kosovo,waste_collection_coverage_rural_percent_of_households,Percent of population,2008
297,Kosovo,waste_collection_coverage_rural_percent_of_waste,Percent of population,2008
298,Kosovo,waste_collection_coverage_rural_percent_of_population,Percent of population,2008
299,Kosovo,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2008
300,Jordan,waste_collection_coverage_rural_percent_of_households,Percent of population,2014
301,Jordan,waste_collection_coverage_rural_percent_of_waste,Percent of population,2014
302,Jordan,waste_collection_coverage_rural_percent_of_population,Percent of population,2014
303,Jordan,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2014
304,Lithuania,waste_collection_coverage_rural_percent_of_households,Percent of population,2012
305,Lithuania,waste_collection_coverage_rural_percent_of_waste,Percent of population,2012
306,Lithuania,waste_collection_coverage_rural_percent_of_population,Percent of population,2012
307,Lithuania,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2012
308,Vietnam,waste_collection_coverage_rural_percent_of_households,Percent of population,2014
309,Vietnam,waste_collection_coverage_rural_percent_of_waste,Percent of population,2014
310,Vietnam,waste_collection_coverage_rural_percent_of_population,Percent of population,2014
311,Vietnam,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2014
312,Ecuador,waste_collection_coverage_rural_percent_of_households,Percent of households,2016
313,Ecuador,waste_collection_coverage_rural_percent_of_waste,Percent of households,2016
314,Ecuador,waste_collection_coverage_rural_percent_of_population,Percent of households,2016
315,Ecuador,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2016
316,Lebanon,waste_collection_coverage_rural_percent_of_households,Percent of population,2014
317,Lebanon,waste_collection_coverage_rural_percent_of_waste,Percent of population,2014
318,Lebanon,waste_collection_coverage_rural_percent_of_population,Percent of population,2014
319,Lebanon,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2014
320,Syrian Arab Republic,waste_collection_coverage_rural_percent_of_households,Percent of population,2010
321,Syrian Arab Republic,waste_collection_coverage_rural_percent_of_waste,Percent of population,2010
322,Syrian Arab Republic,waste_collection_coverage_rural_percent_of_population,Percent of population,2010
323,Syrian Arab Republic,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2010
324,Tunisia,waste_collection_coverage_rural_percent_of_households,Percent of population,2014
325,Tunisia,waste_collection_coverage_rural_percent_of_waste,Percent of population,2014
326,Tunisia,waste_collection_coverage_rural_percent_of_population,Percent of population,2014
327,Tunisia,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2014
328,Peru,waste_collection_coverage_rural_percent_of_households,Percent of households,2014
329,Peru,waste_collection_coverage_rural_percent_of_waste,Percent of households,2014
330,Peru,waste_collection_coverage_rural_percent_of_population,Percent of households,2014
331,Peru,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2014
332,Algeria,waste_collection_coverage_rural_percent_of_households,Percent of population,2017
333,Algeria,waste_collection_coverage_rural_percent_of_waste,Percent of population,2017
334,Algeria,waste_collection_coverage_rural_percent_of_population,Percent of population,2017
335,Algeria,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2017
336,Greece,waste_collection_coverage_rural_percent_of_households,Percent of Geographic Area,2011
337,Greece,waste_collection_coverage_rural_percent_of_waste,Percent of Geographic Area,2011
338,Greece,waste_collection_coverage_rural_percent_of_population,Percent of Geographic Area,2011
339,Greece,waste_collection_coverage_rural_percent_of_geographic_area,Percent of Geographic Area,2011
340,Kazakhstan,waste_collection_coverage_rural_percent_of_households,Percent of population,2010
341,Kazakhstan,waste_collection_coverage_rural_percent_of_waste,Percent of population,2010
342,Kazakhstan,waste_collection_coverage_rural_percent_of_population,Percent of population,2010
343,Kazakhstan,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2010
344,Pakistan,waste_collection_coverage_rural_percent_of_households,Percent of waste,2017
345,Pakistan,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2017
346,Pakistan,waste_collection_coverage_rural_percent_of_population,Percent of waste,2017
347,Pakistan,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2017
348,Nepal,waste_collection_coverage_rural_percent_of_households,Percent of waste,2013
349,Nepal,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2013
350,Nepal,waste_collection_coverage_rural_percent_of_population,Percent of waste,2013
351,Nepal,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2013
352,St. Vincent and the Grenadines,waste_collection_coverage_rural_percent_of_households,Percent of households,2012
353,St. Vincent and the Grenadines,waste_collection_coverage_rural_percent_of_waste,Percent of households,2012
354,St. Vincent and the Grenadines,waste_collection_coverage_rural_percent_of_population,Percent of households,2012
355,St. Vincent and the Grenadines,waste_collection_coverage_rural_percent_of_geographic_area,Percent of households,2012
356,Lao PDR,waste_collection_coverage_rural_percent_of_households,Percent of waste,2015
357,Lao PDR,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2015
358,Lao PDR,waste_collection_coverage_rural_percent_of_population,Percent of waste,2015
359,Lao PDR,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2015
360,"Iran, Islamic Rep.",waste_collection_coverage_rural_percent_of_households,Percent of population,2017
361,"Iran, Islamic Rep.",waste_collection_coverage_rural_percent_of_waste,Percent of population,2017
362,"Iran, Islamic Rep.",waste_collection_coverage_rural_percent_of_population,Percent of population,2017
363,"Iran, Islamic Rep.",waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2017
364,Tonga,waste_collection_coverage_rural_percent_of_households,Percent of waste,2012
365,Tonga,waste_collection_coverage_rural_percent_of_waste,Percent of waste,2012
366,Tonga,waste_collection_coverage_rural_percent_of_population,Percent of waste,2012
367,Tonga,waste_collection_coverage_rural_percent_of_geographic_area,Percent of waste,2012
368,Saudi Arabia,waste_collection_coverage_rural_percent_of_households,Percent of population,2017
369,Saudi Arabia,waste_collection_coverage_rural_percent_of_waste,Percent of population,2017
370,Saudi Arabia,waste_collection_coverage_rural_percent_of_population,Percent of population,2017
371,Saudi Arabia,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2017
372,Guam,waste_collection_coverage_rural_percent_of_households,Percent of population,2016
373,Guam,waste_collection_coverage_rural_percent_of_waste,Percent of population,2016
374,Guam,waste_collection_coverage_rural_percent_of_population,Percent of population,2016
375,Guam,waste_collection_coverage_rural_percent_of_geographic_area,Percent of population,2016
